P M run time
16 1048576 1 0.805118
16 1048576 2 0.786295
16 1048576 3 0.833220
16 1048576 4 0.853967
16 1048576 5 0.826642

16 262144 1 0.307821
16 262144 2 0.462538
16 262144 3 0.473011
16 262144 4 0.466863
16 262144 5 0.473256

32 1048576 1 1.150726
32 1048576 2 1.236195
32 1048576 3 1.234516
32 1048576 4 1.221061
32 1048576 5 1.229576

32 262144 1 0.730254
32 262144 2 0.856095
32 262144 3 0.794232
32 262144 4 0.845100
32 262144 5 0.798562

8 1048576 1 0.360931
8 1048576 2 0.359675
8 1048576 3 0.360063
8 1048576 4 0.359114
8 1048576 5 0.359555

8 262144 1 0.094912
8 262144 2 0.094237
8 262144 3 0.094292
8 262144 4 0.094960
8 262144 5 0.094351
